,id,country,title,title_length,category,tag_num,duration,duration_secs,views,likes,dislikes,comment_count
120,H7ADuNbIr-Q,FR,LA DESCENTE AUX ENFERS DE SILENTÓ (de superstar à meurtrier),60,24,25,PT9M10S,550.0,42621,5159,31,315
121,0Rh4B0NvHjs,FR,MON MEC PEUT-IL / MA MEUF PEUT-ELLE ... ? (ft. @Chloë Lemn),59,26,14,PT18M53S,1133.0,291638,23565,255,331
122,1fFuaC71LS0,FR,IF THE SIMPSONS WAS AN ANIME - MALEC,36,23,25,PT1M30S,90.0,58327,12906,38,706
123,Cl6YcrBG3JU,FR,Je teste mes Limites (je suis éclaté au sol mdrrr),50,24,16,PT30M9S,1809.0,1581967,176924,1257,14277
124,Mt2gKq4ito4,FR,"SCH ""Marché Noir"" #PlanèteRap",29,10,6,PT3M25S,205.0,61671,4066,64,317
125,2LkXjTAoFpY,FR,PARIS SAINT-GERMAIN - FC NANTES (1 - 2) - Résumé - (PSG - FCN) / 2020-2021,74,17,28,PT3M32S,212.0,491881,5569,289,974
126,CM85qVzudIE,FR,JEU EN VRAC (Spécial) - L'incroyable histoire de PETER MOLYNEUX,63,20,7,PT13M13S,793.0,707835,71089,311,3029
127,2FwgTgadTBM,FR,MICHOU & INOXTAG nous parlent de leur HARCÈLEMENT ! 😰,53,24,30,PT48M9S,2889.0,585359,50243,322,949
128,W4mQC6-_klo,FR,Qui a le plus de répartie ?,27,22,0,PT19M17S,1157.0,398409,26045,202,543
129,OlDIMiutXXw,FR,"Kore, Ninho - Mon poto (Clip officiel)",38,10,19,PT4M26S,266.0,2200821,83936,869,1792
130,RLSgnKbUDsk,FR,Les César du racisme - Le Moment Meurice,40,23,9,PT4M56S,296.0,129188,3031,125,242
131,BpreyqrnMjE,FR,"Lous and The Yakuza, Sfera Ebbasta, Shablo - Je ne sais pas (Clip officiel)",75,10,20,PT3M32S,212.0,124406,15623,142,807
132,3tIlVrb98-k,FR,GRAMMYs 2021: Harry Styles Sings Watermelon Sugar in ELECTRIFYING Performance,77,24,26,PT2M33S,153.0,2114786,68655,1398,1110
133,QG00h0OASmw,FR,Beyoncé Wins Best R&B Performance | 2021 GRAMMY Awards Show Acceptance Speech,77,10,18,PT3M17S,197.0,1749439,56318,2363,3576
134,ZrdQSAX2kyw,FR,Zack Snyder’s Justice League | Official Trailer #2 | HBO Max,60,1,25,PT2M29S,149.0,4026018,145194,2555,16321
135,Q88P1gpOJxA,FR,ROSÉ - 'On The Ground' 0314 SBS Inkigayo,40,10,24,PT2M52S,172.0,13812891,1650238,21124,74481
136,Uzii44SDYFA,FR,Taylor Swift - cardigan / august / willow (Live From The 63rd GRAMMYs ® / 2021),79,10,20,PT5M25S,325.0,1222582,241969,791,17811
137,g-lD7Glh7cg,FR,Piwerre - Biscotte (Clip Officiel),34,24,11,PT3M39S,219.0,515772,68733,8933,6448
138,Bg9kBlM5okI,FR,Highlights: Wolves 0-1 Liverpool | Jota wins it at Molineux,59,17,15,PT1M40S,100.0,892114,18118,425,720
139,xhqxn86e6x8,FR,AMONG US mais avec BABY YODA et DARK VADOR (feat @Piwerre),58,20,11,PT10M55S,655.0,294171,12988,253,423
140,T2-dLYaDa6I,FR,Kaaris - Chateau Noir (Clip Officiel),37,10,13,PT3M31S,211.0,1837793,115360,2895,7967
141,y8KZs1De6Jg,FR,Réponse aux critiques contre les Zététiciens (Vlog),51,28,0,PT19M11S,1151.0,25652,2679,113,821
142,cU6cnHHX4LM,FR,펜타곤(PENTAGON) - 'DO or NOT' Official Music Video,48,10,53,PT3M49S,229.0,957393,164904,507,24537
143,4SLBA0kBjhc,FR,"BTS Feeling ""Dynamite"" at 2021 GRAMMY Awards | E! Red Carpet & Award Shows",74,24,29,PT4M19S,259.0,2716788,238496,3157,17576
144,yAuDpsgiOvA,FR,LINDEMANN - Live In Moscow (Out May 21),39,10,7,PT1M40S,100.0,229515,17072,403,0
145,edQc6dA46fg,FR,Je maquille Astrid ...,22,22,5,PT13M,780.0,325751,26968,503,1071
146,bLSefsZREMw,FR,Mastu - Smegma,14,24,12,PT1M29S,89.0,281596,31075,318,946
147,nNBDjJosK74,FR,Post Malone - Hollywood's Bleeding (Live From The 63rd GRAMMYs ® / 2021),72,10,6,PT3M6S,186.0,825209,77874,732,5205
148,8Lyf6PipuIg,FR,퍼플키스(PURPLE KISS) 'Ponzona' MV,30,10,20,PT3M42S,222.0,1776126,108263,2090,14448
149,PQKiHr5qEfA,FR,Destiny - Je Me Casse - Malta 🇲🇹 - Official Music Video - Eurovision 2021,73,24,7,PT3M34S,214.0,332393,15768,1587,2529
150,Uswndl-vDLg,ID,SABYAN - SAPU JAGAT (OFFICIAL MUSIC VIDEO),42,10,22,PT4M6S,246.0,4626443,190562,83967,100890
151,CKZvWhCqx1s,ID,ROSÉ - 'On The Ground' M/V,26,10,24,PT3M9S,189.0,81528957,6785643,72239,1412801
152,9Xaw5jy1FV0,ID,"PROSESI LAMARAN AUREL, ANANG ASHANTY SIAP MELEPASNYA",52,24,30,PT31M59S,1919.0,3838183,149322,5141,9898
153,ddmbaxwsUuM,ID,EKSKLUSIF!! PROSESI LAMARAN AUREL ATTA 💜🖤,41,24,25,PT19M32S,1172.0,1966998,107256,2514,8421
154,Ez6OIK0IeVw,ID,GIRLGROUP YANG LAGI RAME DI KOREA.. CANTIK-CANTIK TERNYATA IBLIS!?,66,22,4,PT16M38S,998.0,1507188,137023,1021,11461
155,vk_gNpICLpw,ID,BETRAND PETO PUTRA ONSU - SALAH MENCINTAI ( Official Music Video ),66,10,4,PT4M42S,282.0,1407084,191722,2219,59615
156,SS06j4GGEWo,ID,"Sindir Moeldoko, Gatot Nurmantyo: Berkompetisilah dengan Ksatria (Part 2) | Mata Najwa",86,25,19,PT14M40S,880.0,2714280,29266,2481,11761
157,ScOtem2aI6k,ID,Krisdayanti Terharu Dan Ikhlaskan Aurel Memilih Pujaan Hatinya - IKATAN CINTA ATTA & AUREL LAMARAN,98,24,7,PT7M53S,473.0,1341851,27421,1045,2297
158,rDsZT-Ai6ek,ID,"HIGHLIGHTS | Arsenal vs Tottenham Hotspur (2-1) | Premier League | Odegaard, Lacazette",86,17,37,PT2M,120.0,1437798,20716,741,1095
159,cI7GcXOdV3E,ID,Highlights | Manchester United 1-0 West Ham | Premier League,60,17,7,PT2M26S,146.0,1577733,29415,635,964
160,Q88P1gpOJxA,ID,ROSÉ - 'On The Ground' 0314 SBS Inkigayo,40,10,24,PT2M52S,172.0,13812891,1650238,21124,74481
161,ikgefER2O08,ID,BTS (방탄소년단) 'Dynamite' @ Music On A Mission | MusiCares,55,10,15,PT3M19S,199.0,9933798,1972453,8326,121512
162,nnxmQHlyNnM,ID,"BALIK LAYAR, SEBELUM AUREL TERIMA ATTA",38,24,22,PT16M28S,988.0,1528213,85832,983,6200
163,VSIBVXcTv4s,ID,"LAMARAN ATTA di Depan ANANG, Ashanty, Krisdayanti. *EXCLUSIVE* #Part2",69,24,0,PT9M54S,594.0,2675393,153544,2948,14345
164,kClTMwHPZjw,ID,Rizky Febian - Seperti Kisah [Official Music Video],51,10,25,PT6M37S,397.0,1703294,145694,903,18003
165,I0MODzoidvY,ID,"Aprilia Manganang, Tentara Wanita Berubah jadi Pria - iNews Sore 09/03",70,25,19,PT13M2S,782.0,5792578,61557,4265,12272
166,UTiVPNCsbGg,ID,"JIHAN | ISTRI UST SYAM | KALAU TIDAK ADA KEPASTIAN , DI STOP SAJA!",66,24,46,PT15M39S,939.0,571417,24059,252,589
167,0QJv_kqsA8s,ID,K-학교🏫 안 다녀봤구나 너네?｜시티고 1학년 27반｜1교시,33,10,25,PT16M28S,988.0,2313990,318583,1063,13969
168,SN1lkMUiroI,ID,MOHON DOA 🤲🏻,12,24,9,PT4M52S,292.0,1400770,90361,3214,8671
169,5h3sIRrQHJE,ID,WayV 威神V '秘境 (Kick Back)' MV,28,10,16,PT3M58S,238.0,6681548,1068063,4485,202730
170,fOLib1vq0WM,ID,Ari Lasso & Judika Sumbang Lagu Spesial Untuk Aurel & Atta -IKATAN CINTA ATTA & AUREL LAMARAN,93,24,7,PT11M4S,664.0,849641,21346,446,1282
171,O5z1E45KGQM,ID,"DITEMANI YUNI SHARA, KRISDAYANTI TAK KUASA TAHAN T4N915 LEPAS AUREL",67,24,21,PT4M10S,250.0,888936,10442,612,1065
172,HkJ7K146Y20,ID,[안방1열 직캠4K] 로제 'On The Ground' 풀캠 (ROSÉ Full Cam)│@SBS Inkigayo_2021.03.14.,75,24,12,PT3M12S,192.0,2326623,252556,3624,11080
173,vyP5k72rYGg,ID,CIDRO 2 | KALIA SISKA ft SKA 86 | KENTRUNG VERSION,50,10,15,PT5M2S,302.0,1102322,30875,828,3593
174,90iqhd4ngm0,ID,Krisdayanti Dampingi Lamaran Aurel dan Atta bersama Anang dan Ashanty,69,25,45,PT1M55S,115.0,474214,4255,427,473
175,uWRlisQu4fo,ID,Giveon - Heartbreak Anniversary (Official Music Video),54,10,34,PT4M8S,248.0,5496887,442572,1857,15181
176,YDL9ue-bB1g,ID,Kisah Untuk Geri - Official Trailer | Episode 5,47,1,17,PT36S,36.0,793338,31476,262,3430
177,anRy4_59hvE,ID,SIDAK M.P AMBARITA DAN INTEROGASI CELINE EVANGELISTA | LAPOR PAK! (11/03/21),76,19,5,PT40M35S,2435.0,415653,6243,232,623
178,ZWrWoIOwaVw,ID,PRANK TIKTOK TERBAIK TAHUN INI! || Trik Lucu untuk Ngerjain Teman Ala 123 GO! GOLD,82,24,33,PT11M6S,666.0,2450483,17867,2992,1105
179,O2S-Vm-fNrw,ID,ROSÉ 'Gone' Lyrics (로제 Gone 가사) (Color Coded Lyrics),52,10,10,PT3M27S,207.0,4504513,201296,3048,6394
